Gene,Neutrophil,NK cell,Dendritic cell,Monocyte,Smooth muscle cell,IL-6,IL-12,IL-17,IL-23,CXCL1,CXCL2,IFNg,GM-CSF,Oxidative damage,VEGF,Cell adhesion,Cytoskeletal,Chemotaxis,Cell death,Inflammatory bowel disease
Actb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amy2a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgdia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgdib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgdig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Car2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cblif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Ccl3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ccl4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ccl5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Ccl7,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Ccl19,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Ccl20,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Ccr7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Cd40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Cd40lg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ceacam1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cela1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cela3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chia1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clca1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cldn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crip1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csf2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Cxcl10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Cxcr5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dbi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmbt1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dnpep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
